55,"Unit Heaters",3,,,12/19/2014 0:00:00,,,"Unit Heaters TP"
56,"AHAM1 - Kitchen Ranges and Ovens and Microwave Ovens (Active Mode)",3,,,12/19/2014 0:00:00,,,"AHAM1 Active TP"
57,"Beverage Vending Machines",3,,,12/19/2014 0:00:00,,,"BVM TP"
58,"Ceiling Fan Light Kits",3,,,12/19/2014 0:00:00,,,"Ceiling Fan Light Kits TP"
59,"Ceiling Fans",3,,,12/19/2014 0:00:00,,,"Ceiling Fans TP"
60,"Torchieres",3,,,12/19/2014 0:00:00,,,"Torchieres TP"
61,"Automatic Commercial Ice Makers",2,,,1/1/2015 0:00:00,,,"Ice Makers STD"
62,"Dishwashers",2,,,1/1/2015 0:00:00,,,"Dishwashers STD"
63,"BC and Class A EPS Second Update",2,,7,7/1/2015 0:00:00,,,"BCEPS STD2"
64,"Packaged terminal air conditioners and packaged terminal heat pumps (ASHRAE)",2,,5,10/7/2016 0:00:00,,,"PTAC STD"
65,"General Service Incandescent Lamps",2,,,1/1/2017 0:00:00,,,"GSIL STD"
66,"LED and OLED",3,,,1/1/2017 0:00:00,,,"LED and OLED TP"
67,"LED and OLED Lamps",2,,,1/1/2017 0:00:00,,,"LED and OLED Lamps STD"
68,"Medium Base Compact Fluorescent Lamps",2,,,1/1/2017 0:00:00,,,"MB CFL STD"
69,"Candelabra Base Incandescent Lamp and Intermediate Base Incandescent Lamp",2,,,3/23/2017 0:00:00,,,"CBILIBIL STD"
70,"Dehumidifiers",2,,,3/23/2017 0:00:00,,,"Dehumidifiers STD"
71,"Single package vertical air conditioners and single package vertical heat pumps and Small commercial package air conditioning and heating equipment (ASHRAE)",2,,,3/23/2017 0:00:00,,,"SP Vertical and Small Package STD"
72,"Kitchen Ranges and Ovens",2,,,4/8/2017 0:00:00,,,"Kitchen Ranges and Ovens STD"
73,"General Service Fluorescent Lamps and Incandescent Reflector Lamps 2",2,,,6/30/2017 0:00:00,,,"Lamps2 STD"
74,"Metal Halide Lamp Fixtures Second Update",2,,,1/1/2019 0:00:00,,,"MH Fixtures2 STD"
75,"Walk-In Coolers and Freezers Second Update",2,,,1/1/2020 0:00:00,,,"Walk-ins2 STD"
76,"General Service Incandescent Lamps Second Update",2,,,1/1/2022 0:00:00,,,"GSIL2 STD"
77,"General Service Fluorescent Lamps, General Service Incandescent Lamps, and Incandescent Reflector Lamps",3,,3,6/30/2009 0:00:00,5,,"Lamps TP"
78,"Small Electric Motors",3,,2,6/30/2009 0:00:00,5,,"Small Electric Motors TP"
79,"Beverage Vending Machines",2,,1,8/8/2009 0:00:00,5,,"BVM STD"
80,"General Service Fluorescent Lamps and Incandescent Reflector Lamps 1",2,,3,6/30/2009 0:00:00,5,,"Lamps STD"
81,"AHAM 1 - Ranges, Ovens, Microwave Ovens and Commercial Clothes Washers",2,,6,3/31/2009 0:00:00,5,,"AHAM1 STD"
82,"ASHRAE Standard 90.1-2007",2,,5,7/10/2009 0:00:00,5,,"ASHRAE STD"
83,"Fluorescent Lamp Ballast (Standby)",3,,3,3/31/2009 0:00:00,5,,"Ballasts Standby TP"
